Site Name,Address,City,State,ZIP,latitude,longitude,Number of Visits in 2019,Average Demand per Visit,StDev(Demand per Visit),,Demand per Visit == the number of clients serviced on that visit
MFP Senior - Cayuga Meadows,108 Aster Lane,Ithaca,NY,14850,42.464569,-76.5409393,9,25.9,3.3,,
MFP Senior - CFS Lakeview,CFS Lakeview Apartments,Bath,NY,14810,42.3488781,-77.3110763,10,112.0,15.6,,
MFP Senior - Conifer Village,200 Conifer Drive,Ithaca,NY,14850,42.4511294,-76.5323538,10,33.8,10.4,,
MFP Senior - Corning Senior Center,Corning Senior Center,Corning,NY,14830,42.1490255,-77.0619725,9,75.0,31.0,,
MFP Senior - Dayspring,Day Spring II,Corning,NY,14830,42.1420715,-77.0454685,11,77.2,17.9,,
MFP Senior - East Hill Senior Living,50 E Clapham St,Binghamton,NY,13904,42.1141777,-75.8720703,12,39.8,2.2,,
"MFP Senior - Elizabeth Square, Waverly",430 Fulton Street,Waverly,NY,14892,42.001546,-76.541203,12,29.0,9.7,,
MFP Senior - Ellis Hollow,1028 Ellis Hollow Road,Ithaca,NY,14850,42.435955,-76.460374,11,24.7,13.8,,
MFP Senior - Flannery,300 South Main Street,Elmira,NY,14904,42.0819957,-76.8053269,11,61.7,10.1,,
MFP Senior - Harry L Apartments,235 Harry L Drive,Johnson City,NY,13790,42.1237339,-75.9567565,6,32.8,6.2,,
MFP Senior - Jefferson Village,222 E 2nd St,Watkins Glen,NY,14891,42.3829923,-76.8713304,11,24.8,2.8,,
MFP Senior - Lincoln Court,21 New Street,Binghamton,NY,13903,42.090217,-75.910198,10,26.0,4.9,,
MFP Senior - Long Meadow Senior Housing,5 Brown Lane,Owego,NY,13827,42.1135325,-76.2704045,12,34.8,13.0,,
MFP Senior - Metro Plaza Apartments,110 Chenango Street,Binghamton,NY,13901,42.1016977,-75.9085338,10,56.3,19.9,,
MFP Senior - North Shore Towers,24 Isbell Street,Binghamton,NY,13901,42.0966132,-75.9103884,6,58.3,6.9,,
"MFP Senior - Northern Broome Senior Center, Whitney Point",10 Strong Place,Whitney Point,NY,13862,42.3269618,-75.9677778,11,50.9,22.0,,
MFP Senior - Park Terrace Congregate Apartments,1281 Pennsylvania Ave.,Pine City,NY,14871,42.051364,-76.832954,11,24.4,4.4,,
MFP Senior - Springview Apartments,80 Spring Street,Waverly,NY,14892,42.0100399,-76.533895,12,27.6,9.3,,
MFP Senior - Titus Towers,800 South Plain Street,Ithaca,NY,14850,42.4317058,-76.504801,10,72.8,4.3,,
MFP Senior - Villa Serene,Villa Serene,Elmira Heights,NY,14903,42.1295916,-76.8158267,11,69.7,5.1,,
MFP Senior - Village Square/Manor,Village Square Apartments,Painted Post,NY,14870,42.159804,-77.09139,12,34.3,6.5,,
MFP Senior - Wells Apartments,299 Floral Avenue,Johnson City,NY,13760,42.1076045,-75.9607932,10,23.5,4.6,,
MFP Senior - Woodsedge Apartments,100 Woodsedge Drive,Lansing,NY,14882,42.535151,-76.501086,10,17.2,4.2,,
MFP The Love Church,3136 Lake Rd.,Horseheads,NY,14845,42.1412225,-76.8137998,12,259.3,59.9,,
MFP Troupsburg,Troupsburg Fire Department,Troupsburg,NY,14885,42.0432505,-77.5456383,7,148.7,50.2,,
MFP Tuscarora,Tuscarora Town Barn,Addison,NY,14801,42.0522655,-77.2737134,11,192.6,29.9,,
MFP Van Etten,Community Fire and Rescue,Van Etten,NY,14883,42.2080409,-76.579406,10,213.7,20.0,,
MFP Waverly,North Waverly Chapel,Waverly,NY,14892,42.0194466,-76.5236008,11,396.6,51.9,,
MFP Wayland,St Joseph's Church,Wayland,NY,14572,42.5685797,-77.5957241,12,180.4,35.3,,
MFP Whitney Point,St Patrick's Church,Whitney Point,NY,13862,42.3405329,-75.9765268,11,202.5,30.4,,
MFP Windsor,Windsor Volunteer Fire Dept.,Windsor,NY,13865,42.0779615,-75.6427789,11,200.9,34.9,,
MFP Woodhull,Woodhull Fire Department,Woodhull,NY,14898,42.0798397,-77.4111295,12,176.0,63.5,,
